#ID        name                 Mass_0             Z_0                spin_0             SN_0               Tstart_0           Mass_1             Z_1                spin_1             SN_1               Tstart_1           a                  e                  Tend               Dtout              Seed             
0          952876102404693      30.877             0.02               0.0                delayed            zams               22.197             0.02               0.0                delayed            zams               883                0.338              end                end            422399456372199  
1          153855319888273      24.097             0.02               0.0                delayed            zams               20.732             0.02               0.0                delayed            zams               1.78e+04           0.625              end                end            585420069785258  
2          291499525493343      25.411             0.02               0.0                delayed            zams               6.245              0.02               0.0                delayed            zams               325                0.741              end                end            845849977688576  
3          383215452189263      81.636             0.02               0.0                delayed            zams               38.026             0.02               0.0                delayed            zams               3.98e+03           0.349              end                end            686517082535916  
4          193963489788874      28.282             0.02               0.0                delayed            zams               11.255             0.02               0.0                delayed            zams               1.53e+03           0.000148           end                end            512085764913113  
5          749002090646953      37.038             0.02               0.0                delayed            zams               36.821             0.02               0.0                delayed            zams               143                0.626              end                end            186708622741687  
6          641127370744343      24.678             0.02               0.0                delayed            zams               5.523              0.02               0.0                delayed            zams               62                 0.617              end                end            98255088926384   
7          744511034719946      52.194             0.02               0.0                delayed            zams               47.853             0.02               0.0                delayed            zams               127                0.0513             end                end            211544865477764  
8          628777690274055      48.398             0.02               0.0                delayed            zams               11.517             0.02               0.0                delayed            zams               1.57e+03           0.275              end                end            468957164538650  
9          122700193399535      47.477             0.02               0.0                delayed            zams               38.429             0.02               0.0                delayed            zams               98.4               0.0525             end                end            713705535812243  
10         597520032680085      22.853             0.02               0.0                delayed            zams               18.941             0.02               0.0                delayed            zams               1.16e+04           0.298              end                end            558505391512600  
11         277396695194527      60.643             0.02               0.0                delayed            zams               49.226             0.02               0.0                delayed            zams               81.4               0.235              end                end            600161016473071  
12         552560153638968      70.566             0.02               0.0                delayed            zams               39.218             0.02               0.0                delayed            zams               97                 0.602              end                end            99068618758653   
13         983043097195521      133.017            0.02               0.0                delayed            zams               129.785            0.02               0.0                delayed            zams               467                0.026              end                end            65707969182476   
14         201345555807160      49.919             0.02               0.0                delayed            zams               29.467             0.02               0.0                delayed            zams               984                0.834              end                end            208986433682287  
15         341707560034841      34.567             0.02               0.0                delayed            zams               15.948             0.02               0.0                delayed            zams               81.2               0.118              end                end            919794927161951  
16         371760929620502      24.863             0.02               0.0                delayed            zams               22.312             0.02               0.0                delayed            zams               51.6               0.455              end                end            141520689718981  
17         350981136831641      38.945             0.02               0.0                delayed            zams               28.359             0.02               0.0                delayed            zams               81.8               0.00881            end                end            234180866136592  
18         221292375506287      44.048             0.02               0.0                delayed            zams               14.840             0.02               0.0                delayed            zams               3.7e+03            0.0461             end                end            456703494460532  
19         479116607683508      42.125             0.02               0.0                delayed            zams               23.499             0.02               0.0                delayed            zams               6.61e+04           0.00721            end                end            206679553758199  
20         572501414498772      35.677             0.02               0.0                delayed            zams               32.121             0.02               0.0                delayed            zams               68.9               0.47               end                end            542190043355902  
21         840416967099682      25.650             0.02               0.0                delayed            zams               14.707             0.02               0.0                delayed            zams               56.1               0.174              end                end            40324683021055   
22         284292798320298      74.750             0.02               0.0                delayed            zams               50.673             0.02               0.0                delayed            zams               2.45e+04           0.774              end                end            550865268082528  
23         474472897653492      53.671             0.02               0.0                delayed            zams               33.337             0.02               0.0                delayed            zams               102                0.00147            end                end            13118888783908   
24         402754207341349      57.065             0.02               0.0                delayed            zams               49.816             0.02               0.0                delayed            zams               6.22e+03           0.0439             end                end            76727440020231   
25         792377132070441      31.114             0.02               0.0                delayed            zams               26.449             0.02               0.0                delayed            zams               744                0.583              end                end            662324414388628  
26         560028878338177      120.697            0.02               0.0                delayed            zams               78.743             0.02               0.0                delayed            zams               1.69e+03           0.306              end                end            495689988179287  
27         430955278476312      22.927             0.02               0.0                delayed            zams               15.355             0.02               0.0                delayed            zams               1.83e+03           0.0616             end                end            474459918919323  
