ID,name,Worldtime_0,Mass_0,Phase_0,RemnantType_0,Worldtime_1,Mass_1,Phase_1,RemnantType_1,Semimajor,Eccentricity,BEvent
0,952876102404693,0.000000e+00,3.083474e+01,MainSequence,NotARemnant,0.000000e+00,2.218204e+01,MainSequence,NotARemnant,8.830000e+02,3.380000e-01,
0,952876102404693,6.102458e+00,1.648501e+01,Remnant,BH,6.102458e+00,nan,Remnant,Empty,nan,nan,CPhase
1,153855319888273,0.000000e+00,2.407636e+01,MainSequence,NotARemnant,0.000000e+00,2.072142e+01,MainSequence,NotARemnant,1.780000e+04,6.250000e-01,
1,153855319888273,8.822075e+00,6.869692e+00,Remnant,BH,8.822075e+00,4.190006e+00,Remnant,BH,nan,nan,CPhase
2,291499525493343,0.000000e+00,2.538643e+01,MainSequence,NotARemnant,0.000000e+00,6.244858e+00,MainSequence,NotARemnant,3.250000e+02,7.410000e-01,
2,291499525493343,7.499699e+00,9.672106e+00,Remnant,BH,7.499699e+00,nan,Remnant,Empty,nan,nan,CPhase
3,383215452189263,0.000000e+00,8.128241e+01,MainSequence,NotARemnant,0.000000e+00,3.795140e+01,MainSequence,NotARemnant,3.980000e+03,3.490000e-01,
3,383215452189263,5.250035e+00,1.413258e+01,Remnant,BH,5.250035e+00,5.117154e+00,Remnant,BH,nan,nan,SNBroken
4,193963489788874,0.000000e+00,2.824885e+01,MainSequence,NotARemnant,0.000000e+00,1.125430e+01,MainSequence,NotARemnant,1.530000e+03,1.480000e-04,
4,193963489788874,2.058730e+01,2.295897e+00,Remnant,NS_CCSN,2.058730e+01,1.235519e+00,Remnant,NS_CCSN,nan,nan,CPhase
5,749002090646953,0.000000e+00,3.696787e+01,MainSequence,NotARemnant,0.000000e+00,3.675185e+01,MainSequence,NotARemnant,1.430000e+02,6.260000e-01,
5,749002090646953,5.017542e+00,2.463959e+01,Remnant,BH,5.017542e+00,nan,Remnant,Empty,nan,nan,CPhase
6,641127370744343,0.000000e+00,2.465562e+01,MainSequence,NotARemnant,0.000000e+00,5.522872e+00,MainSequence,NotARemnant,6.200000e+01,6.170000e-01,
6,641127370744343,7.516344e+00,8.619602e+00,Remnant,BH,7.516344e+00,nan,Remnant,Empty,nan,nan,CPhase
7,744511034719946,0.000000e+00,5.204618e+01,MainSequence,NotARemnant,0.000000e+00,4.772817e+01,MainSequence,NotARemnant,1.270000e+02,5.130000e-02,
7,744511034719946,4.064549e+00,3.084539e+01,Remnant,BH,4.064549e+00,nan,Remnant,Empty,nan,nan,CPhase
8,628777690274055,0.000000e+00,4.827030e+01,MainSequence,NotARemnant,0.000000e+00,1.151624e+01,MainSequence,NotARemnant,1.570000e+03,2.750000e-01,
8,628777690274055,1.906922e+01,6.824429e+00,Remnant,BH,1.906922e+01,1.235519e+00,Remnant,NS_CCSN,nan,nan,SNBroken
9,122700193399535,0.000000e+00,4.735415e+01,MainSequence,NotARemnant,0.000000e+00,3.835258e+01,MainSequence,NotARemnant,9.840000e+01,5.250000e-02,
9,122700193399535,4.382529e+00,3.046541e+01,Remnant,BH,4.382529e+00,nan,Remnant,Empty,nan,nan,CPhase
10,597520032680085,0.000000e+00,2.283608e+01,MainSequence,NotARemnant,0.000000e+00,1.893405e+01,MainSequence,NotARemnant,1.160000e+04,2.980000e-01,
10,597520032680085,9.648456e+00,5.924027e+00,Remnant,BH,9.648456e+00,2.588336e+00,Remnant,NS_CCSN,nan,nan,SNBroken
11,277396695194527,0.000000e+00,6.044690e+01,MainSequence,NotARemnant,0.000000e+00,4.909395e+01,MainSequence,NotARemnant,8.140000e+01,2.350000e-01,
11,277396695194527,3.720671e+00,2.308866e+01,Remnant,BH,3.720671e+00,nan,Remnant,Empty,nan,nan,CPhase
12,552560153638968,0.000000e+00,7.027074e+01,MainSequence,NotARemnant,0.000000e+00,3.913801e+01,MainSequence,NotARemnant,9.700000e+01,6.020000e-01,
12,552560153638968,3.556316e+00,1.709905e+01,Remnant,BH,3.556316e+00,nan,Remnant,Empty,nan,nan,CPhase
13,983043097195521,0.000000e+00,1.320978e+02,MainSequence,NotARemnant,0.000000e+00,1.289017e+02,MainSequence,NotARemnant,4.670000e+02,2.600000e-02,
13,983043097195521,3.070632e+00,1.762168e+01,Remnant,BH,3.070632e+00,1.742825e+01,Remnant,BH,2.975914e+03,2.497327e-02,CPhase
14,201345555807160,0.000000e+00,4.978330e+01,MainSequence,NotARemnant,0.000000e+00,2.943030e+01,MainSequence,NotARemnant,9.840000e+02,8.340000e-01,
14,201345555807160,5.736912e+00,9.319493e+00,Remnant,BH,5.736912e+00,nan,Remnant,Empty,nan,nan,Collision_Merger
15,341707560034841,0.000000e+00,3.450805e+01,MainSequence,NotARemnant,0.000000e+00,1.594478e+01,MainSequence,NotARemnant,8.120000e+01,1.180000e-01,
15,341707560034841,5.732479e+00,1.561838e+01,Remnant,BH,5.732479e+00,nan,Remnant,Empty,nan,nan,CPhase
16,371760929620502,0.000000e+00,2.484007e+01,MainSequence,NotARemnant,0.000000e+00,2.229670e+01,MainSequence,NotARemnant,5.160000e+01,4.550000e-01,
16,371760929620502,7.133640e+00,1.389158e+01,Remnant,BH,7.133640e+00,nan,Remnant,Empty,nan,nan,CPhase
17,350981136831641,0.000000e+00,3.886625e+01,MainSequence,NotARemnant,0.000000e+00,2.832562e+01,MainSequence,NotARemnant,8.180000e+01,8.810000e-03,
17,350981136831641,5.348794e+00,1.857708e+01,Remnant,BH,5.348794e+00,nan,Remnant,Empty,nan,nan,CPhase
18,221292375506287,0.000000e+00,4.394318e+01,MainSequence,NotARemnant,0.000000e+00,1.483755e+01,MainSequence,NotARemnant,3.700000e+03,4.610000e-02,
18,221292375506287,1.314112e+01,5.402592e+00,Remnant,BH,1.314112e+01,1.396818e+00,Remnant,NS_CCSN,nan,nan,CPhase
19,479116607683508,0.000000e+00,4.203030e+01,MainSequence,NotARemnant,0.000000e+00,2.348015e+01,MainSequence,NotARemnant,6.610000e+04,7.210000e-03,
19,479116607683508,8.040960e+00,4.844601e+00,Remnant,BH,8.040960e+00,6.460694e+00,Remnant,BH,nan,nan,CPhase
20,572501414498772,0.000000e+00,3.561303e+01,MainSequence,NotARemnant,0.000000e+00,3.207312e+01,MainSequence,NotARemnant,6.890000e+01,4.700000e-01,
20,572501414498772,5.127076e+00,1.812954e+01,Remnant,BH,5.127076e+00,nan,Remnant,Empty,nan,nan,CPhase
21,840416967099682,0.000000e+00,2.562472e+01,MainSequence,NotARemnant,0.000000e+00,1.470464e+01,MainSequence,NotARemnant,5.610000e+01,1.740000e-01,
21,840416967099682,7.451531e+00,1.140535e+01,Remnant,BH,7.451531e+00,nan,Remnant,Empty,nan,nan,CPhase
22,284292798320298,0.000000e+00,7.443934e+01,MainSequence,NotARemnant,0.000000e+00,5.053329e+01,MainSequence,NotARemnant,2.450000e+04,7.740000e-01,
22,284292798320298,4.367844e+00,1.359465e+01,Remnant,BH,4.367844e+00,7.763206e+00,Remnant,BH,nan,nan,SNBroken
23,474472897653492,0.000000e+00,5.351531e+01,MainSequence,NotARemnant,0.000000e+00,3.328362e+01,MainSequence,NotARemnant,1.020000e+02,1.470000e-03,
23,474472897653492,5.226516e+00,2.214719e+00,Remnant,NS_CCSN,5.226516e+00,1.280861e+01,Remnant,BH,nan,nan,CPhase
24,402754207341349,0.000000e+00,5.689121e+01,MainSequence,NotARemnant,0.000000e+00,4.968085e+01,MainSequence,NotARemnant,6.220000e+03,4.390000e-02,
24,402754207341349,4.407429e+00,1.194812e+01,Remnant,BH,4.407429e+00,7.336889e+00,Remnant,BH,nan,nan,SNBroken
25,792377132070441,0.000000e+00,3.107067e+01,MainSequence,NotARemnant,0.000000e+00,2.642133e+01,MainSequence,NotARemnant,7.440000e+02,5.830000e-01,
25,792377132070441,6.070199e+00,1.698636e+01,Remnant,BH,6.070199e+00,nan,Remnant,Empty,nan,nan,CPhase
26,560028878338177,0.000000e+00,1.199149e+02,MainSequence,NotARemnant,0.000000e+00,7.841765e+01,MainSequence,NotARemnant,1.690000e+03,3.060000e-01,
26,560028878338177,3.573657e+00,1.656577e+01,Remnant,BH,3.573657e+00,1.387362e+01,Remnant,BH,1.036633e+04,3.050204e-01,CPhase
27,430955278476312,0.000000e+00,2.290986e+01,MainSequence,NotARemnant,0.000000e+00,1.535220e+01,MainSequence,NotARemnant,1.830000e+03,6.160000e-02,
27,430955278476312,1.263860e+01,1.722636e+00,Remnant,NS_CCSN,1.263860e+01,1.434552e+00,Remnant,NS_CCSN,nan,nan,CPhase
28,384173540664732,0.000000e+00,3.015682e+01,MainSequence,NotARemnant,0.000000e+00,1.349938e+01,MainSequence,NotARemnant,1.550000e+03,3.650000e-02,
28,384173540664732,1.523430e+01,2.583461e+00,Remnant,NS_CCSN,1.523430e+01,1.235519e+00,Remnant,NS_CCSN,nan,nan,SNBroken
29,374104422971831,0.000000e+00,2.739142e+01,MainSequence,NotARemnant,0.000000e+00,1.499145e+01,MainSequence,NotARemnant,8.570000e+03,2.040000e-01,
29,374104422971831,1.289229e+01,8.719761e+00,Remnant,BH,1.289229e+01,1.429586e+00,Remnant,NS_CCSN,nan,nan,CPhase
30,778908702551257,0.000000e+00,3.455086e+01,MainSequence,NotARemnant,0.000000e+00,3.167493e+01,MainSequence,NotARemnant,1.150000e+02,3.340000e-02,
30,778908702551257,5.707730e+00,1.929826e+01,Remnant,BH,5.707730e+00,nan,Remnant,Empty,nan,nan,CPhase
