#ID        name                 Mass_0             Z_0                spin_0             SN_0               Tstart_0           Mass_1             Z_1                spin_1             SN_1               Tstart_1           a                  e                  Tend               Dtout              Seed             
0          884431017335027      32.252             0.02               0.0                delayed            zams               31.414             0.02               0.0                delayed            zams               81.7               0.387              end                end            61280877840866   
1          334418027610598      27.419             0.02               0.0                delayed            zams               9.244              0.02               0.0                delayed            zams               215                0.023              end                end            303558239305623  
2          440888489304380      26.715             0.02               0.0                delayed            zams               19.887             0.02               0.0                delayed            zams               31.7               0.0892             end                end            126482469492701  
3          162572257951045      59.107             0.02               0.0                delayed            zams               52.274             0.02               0.0                delayed            zams               2.5e+03            0.419              end                end            270899671004712  
4          573666033498544      33.704             0.02               0.0                delayed            zams               12.953             0.02               0.0                delayed            zams               3.1e+03            0.151              end                end            698968806240862  
5          780495128601013      27.548             0.02               0.0                delayed            zams               15.796             0.02               0.0                delayed            zams               744                0.515              end                end            627282626778200  
6          707394958051991      80.534             0.02               0.0                delayed            zams               9.032              0.02               0.0                delayed            zams               132                0.0542             end                end            568219204414927  
7          632903498053088      30.487             0.02               0.0                delayed            zams               14.296             0.02               0.0                delayed            zams               2.17e+03           0.00226            end                end            274517021961832  
8          890726687796682      22.012             0.02               0.0                delayed            zams               10.980             0.02               0.0                delayed            zams               35.3               0.13               end                end            366313027120791  
9          412839012801887      53.715             0.02               0.0                delayed            zams               12.342             0.02               0.0                delayed            zams               37.7               0.158              end                end            47212976981246   
10         466216429528650      117.582            0.02               0.0                delayed            zams               62.351             0.02               0.0                delayed            zams               66.5               0.251              end                end            746797721858085  
11         533120383914579      38.708             0.02               0.0                delayed            zams               11.363             0.02               0.0                delayed            zams               58.8               0.00532            end                end            647010568092383  
12         153604895132178      35.697             0.02               0.0                delayed            zams               28.118             0.02               0.0                delayed            zams               942                0.861              end                end            154644648830393  
13         585091707634975      26.892             0.02               0.0                delayed            zams               19.538             0.02               0.0                delayed            zams               27.2               0.0227             end                end            51711822193536   
14         459223648995820      84.024             0.02               0.0                delayed            zams               31.216             0.02               0.0                delayed            zams               2.53e+03           0.111              end                end            695077114233426  
15         761805055867198      39.548             0.02               0.0                delayed            zams               4.833              0.02               0.0                delayed            zams               26.5               0.0179             end                end            50768146167473   
16         608908640901127      31.858             0.02               0.0                delayed            zams               26.906             0.02               0.0                delayed            zams               195                0.373              end                end            787902397572201  
17         934437299802984      64.141             0.02               0.0                delayed            zams               47.818             0.02               0.0                delayed            zams               65.1               0.00201            end                end            710891135039915  
18         372354431569461      131.176            0.02               0.0                delayed            zams               22.640             0.02               0.0                delayed            zams               843                0.000597           end                end            281789839232677  
19         959595069274624      139.203            0.02               0.0                delayed            zams               104.220            0.02               0.0                delayed            zams               277                0.272              end                end            745974985893516  
20         278865190078563      28.074             0.02               0.0                delayed            zams               12.617             0.02               0.0                delayed            zams               60.5               0.164              end                end            413301199387846  
21         947634123079474      30.579             0.02               0.0                delayed            zams               4.711              0.02               0.0                delayed            zams               72.6               0.026              end                end            584725297751630  
22         582653506071156      25.369             0.02               0.0                delayed            zams               18.326             0.02               0.0                delayed            zams               4.9e+03            0.447              end                end            197473104950717  
23         819635265633917      32.697             0.02               0.0                delayed            zams               27.797             0.02               0.0                delayed            zams               28.1               0.0321             end                end            438137512316489  
24         542033094886450      24.537             0.02               0.0                delayed            zams               4.307              0.02               0.0                delayed            zams               2.44e+03           0.104              end                end            477672056964369  
25         983564577538472      24.403             0.02               0.0                delayed            zams               6.562              0.02               0.0                delayed            zams               107                0.000544           end                end            129369655953217  
26         637585283516039      26.376             0.02               0.0                delayed            zams               7.440              0.02               0.0                delayed            zams               61.8               0.339              end                end            826751346979954  
27         917158568673143      67.369             0.02               0.0                delayed            zams               19.643             0.02               0.0                delayed            zams               49.7               0.249              end                end            621136687059063  
28         699025621317756      27.870             0.02               0.0                delayed            zams               3.905              0.02               0.0                delayed            zams               1.85e+03           0.00304            end                end            500591593381806  
29         237104249393636      68.914             0.02               0.0                delayed            zams               11.695             0.02               0.0                delayed            zams               6.98e+03           0.356              end                end            675863168485755  
