ID,name,Worldtime_0,Mass_0,Phase_0,RemnantType_0,Worldtime_1,Mass_1,Phase_1,RemnantType_1,Semimajor,Eccentricity,BEvent
0,884431017335027,0.000000e+00,3.220352e+01,1,0,0.000000e+00,3.136931e+01,1,0,8.170000e+01,3.870000e-01,-1
0,884431017335027,5.562094e+00,2.299726e+01,7,6,5.562094e+00,nan,7,-1,nan,nan,0
1,334418027610598,0.000000e+00,2.738843e+01,1,0,0.000000e+00,9.243634e+00,1,0,2.150000e+02,2.300000e-02,-1
1,334418027610598,6.936118e+00,1.182529e+01,7,6,6.936118e+00,nan,7,-1,nan,nan,0
2,440888489304380,0.000000e+00,2.668653e+01,1,0,0.000000e+00,1.987876e+01,1,0,3.170000e+01,8.920000e-02,-1
2,440888489304380,6.546973e+00,8.191821e+00,7,6,6.546973e+00,nan,7,-1,nan,nan,0
3,162572257951045,0.000000e+00,5.892233e+01,1,0,0.000000e+00,5.212576e+01,1,0,2.500000e+03,4.190000e-01,-1
3,162572257951045,4.298537e+00,1.326278e+01,7,6,4.298537e+00,8.954917e+00,7,6,nan,nan,17
4,573666033498544,0.000000e+00,3.364896e+01,1,0,0.000000e+00,1.295165e+01,1,0,3.100000e+03,1.510000e-01,-1
4,573666033498544,1.607244e+01,7.344323e+00,7,6,1.607244e+01,1.235519e+00,7,5,nan,nan,17
5,780495128601013,0.000000e+00,2.751704e+01,1,0,0.000000e+00,1.579289e+01,1,0,7.440000e+02,5.150000e-01,-1
5,780495128601013,6.901321e+00,1.406975e+01,7,6,6.901321e+00,nan,7,-1,nan,nan,0
6,707394958051991,0.000000e+00,8.019632e+01,1,0,0.000000e+00,9.031640e+00,1,0,1.320000e+02,5.420000e-02,-1
6,707394958051991,2.968324e+01,1.401270e+01,7,6,2.968324e+01,1.041707e+00,7,3,7.490787e+02,5.705098e-02,0
7,632903498053088,0.000000e+00,3.044651e+01,1,0,0.000000e+00,1.429393e+01,1,0,2.170000e+03,2.260000e-03,-1
7,632903498053088,1.393087e+01,2.653293e+00,7,5,1.393087e+01,1.323990e+00,7,5,nan,nan,17
8,890726687796682,0.000000e+00,2.199759e+01,1,0,0.000000e+00,1.097937e+01,1,0,3.530000e+01,1.300000e-01,-1
8,890726687796682,1.055123e+01,9.341420e+00,7,6,1.055123e+01,nan,7,-1,nan,nan,0
9,412839012801887,0.000000e+00,5.355907e+01,1,0,0.000000e+00,1.234095e+01,1,0,3.770000e+01,1.580000e-01,-1
9,412839012801887,4.051028e+00,1.342302e+01,7,6,4.051028e+00,nan,7,-1,nan,nan,0
10,466216429528650,0.000000e+00,1.168345e+02,1,0,0.000000e+00,6.213718e+01,1,0,6.650000e+01,2.510000e-01,-1
10,466216429528650,2.957198e+00,2.232337e+01,7,6,2.957198e+00,nan,7,-1,nan,nan,0
11,533120383914579,0.000000e+00,3.863032e+01,1,0,0.000000e+00,1.136228e+01,1,0,5.880000e+01,5.320000e-03,-1
11,533120383914579,4.922868e+00,1.373618e+01,7,6,4.922868e+00,nan,7,-1,nan,nan,0
