#ID        name                 Mass_0             Z_0                spin_0             SN_0               Tstart_0           Mass_1             Z_1                spin_1             SN_1               Tstart_1           a                  e                  Tend               Dtout              Seed             
0          188923767549300      32.252             0.02               0.0                delayed            zams               31.414             0.02               0.0                delayed            zams               81.7               0.387              end                end            80510324055414   
1          224146611905359      27.419             0.02               0.0                delayed            zams               9.244              0.02               0.0                delayed            zams               215                0.023              end                end            60121256824079   
2          441950022240831      26.715             0.02               0.0                delayed            zams               19.887             0.02               0.0                delayed            zams               31.7               0.0892             end                end            306014457361020  
3          812636934722492      59.107             0.02               0.0                delayed            zams               52.274             0.02               0.0                delayed            zams               2.5e+03            0.419              end                end            529642129052556  
4          816165102869243      33.704             0.02               0.0                delayed            zams               12.953             0.02               0.0                delayed            zams               3.1e+03            0.151              end                end            573664403254419  
5          132725778419724      27.548             0.02               0.0                delayed            zams               15.796             0.02               0.0                delayed            zams               744                0.515              end                end            350259962891078  
6          345182537031887      80.534             0.02               0.0                delayed            zams               9.032              0.02               0.0                delayed            zams               132                0.0542             end                end            240424112009274  
7          310708253472317      30.487             0.02               0.0                delayed            zams               14.296             0.02               0.0                delayed            zams               2.17e+03           0.00226            end                end            90994450205343   
8          953795858260289      22.012             0.02               0.0                delayed            zams               10.980             0.02               0.0                delayed            zams               35.3               0.13               end                end            677111557042542  
9          772646526414292      53.715             0.02               0.0                delayed            zams               12.342             0.02               0.0                delayed            zams               37.7               0.158              end                end            319061390486697  
10         719975945130042      117.582            0.02               0.0                delayed            zams               62.351             0.02               0.0                delayed            zams               66.5               0.251              end                end            858320173241815  
11         281056511505951      38.708             0.02               0.0                delayed            zams               11.363             0.02               0.0                delayed            zams               58.8               0.00532            end                end            205123309984732  
12         859046732397417      35.697             0.02               0.0                delayed            zams               28.118             0.02               0.0                delayed            zams               942                0.861              end                end            842679824997978  
13         282844044430409      26.892             0.02               0.0                delayed            zams               19.538             0.02               0.0                delayed            zams               27.2               0.0227             end                end            582888566751192  
14         419704917404674      84.024             0.02               0.0                delayed            zams               31.216             0.02               0.0                delayed            zams               2.53e+03           0.111              end                end            6373771001683    
