ID,name,Worldtime_0,Mass_0,Phase_0,RemnantType_0,Worldtime_1,Mass_1,Phase_1,RemnantType_1,Semimajor,Eccentricity,BEvent
0,188923767549300,0.000000e+00,3.220352e+01,1,0,0.000000e+00,3.136931e+01,1,0,8.170000e+01,3.870000e-01,-1
0,188923767549300,5.562094e+00,2.299726e+01,7,6,5.562094e+00,nan,7,-1,nan,nan,0
1,224146611905359,0.000000e+00,2.738843e+01,1,0,0.000000e+00,9.243634e+00,1,0,2.150000e+02,2.300000e-02,-1
1,224146611905359,6.936118e+00,1.182529e+01,7,6,6.936118e+00,nan,7,-1,nan,nan,0
2,441950022240831,0.000000e+00,2.668653e+01,1,0,0.000000e+00,1.987876e+01,1,0,3.170000e+01,8.920000e-02,-1
2,441950022240831,6.546973e+00,8.191821e+00,7,6,6.546973e+00,nan,7,-1,nan,nan,0
3,812636934722492,0.000000e+00,5.892233e+01,1,0,0.000000e+00,5.212576e+01,1,0,2.500000e+03,4.190000e-01,-1
3,812636934722492,4.298537e+00,1.326278e+01,7,6,4.298537e+00,8.954917e+00,7,6,1.118901e+04,1.242039e-01,0
4,816165102869243,0.000000e+00,3.364896e+01,1,0,0.000000e+00,1.295165e+01,1,0,3.100000e+03,1.510000e-01,-1
4,816165102869243,1.607244e+01,7.336158e+00,7,6,1.607244e+01,1.235519e+00,7,5,nan,nan,17
5,132725778419724,0.000000e+00,2.751704e+01,1,0,0.000000e+00,1.579289e+01,1,0,7.440000e+02,5.150000e-01,-1
5,132725778419724,6.901321e+00,1.406975e+01,7,6,6.901321e+00,nan,7,-1,nan,nan,0
6,345182537031887,0.000000e+00,8.019632e+01,1,0,0.000000e+00,9.031640e+00,1,0,1.320000e+02,5.420000e-02,-1
6,345182537031887,2.967692e+01,1.401293e+01,7,6,2.967692e+01,1.042631e+00,7,3,7.499225e+02,5.710963e-02,0
7,310708253472317,0.000000e+00,3.044651e+01,1,0,0.000000e+00,1.429393e+01,1,0,2.170000e+03,2.260000e-03,-1
7,310708253472317,1.393087e+01,2.648172e+00,7,5,1.393087e+01,1.323990e+00,7,5,nan,nan,0
8,953795858260289,0.000000e+00,2.199759e+01,1,0,0.000000e+00,1.097937e+01,1,0,3.530000e+01,1.300000e-01,-1
8,953795858260289,1.055123e+01,9.341420e+00,7,6,1.055123e+01,nan,7,-1,nan,nan,0
9,772646526414292,0.000000e+00,5.355907e+01,1,0,0.000000e+00,1.234095e+01,1,0,3.770000e+01,1.580000e-01,-1
9,772646526414292,4.051028e+00,1.342302e+01,7,6,4.051028e+00,nan,7,-1,nan,nan,0
10,719975945130042,0.000000e+00,1.168345e+02,1,0,0.000000e+00,6.213718e+01,1,0,6.650000e+01,2.510000e-01,-1
10,719975945130042,2.957198e+00,2.232337e+01,7,6,2.957198e+00,nan,7,-1,nan,nan,0
11,281056511505951,0.000000e+00,3.863032e+01,1,0,0.000000e+00,1.136228e+01,1,0,5.880000e+01,5.320000e-03,-1
