#ID        name                 Mass_0             Z_0                spin_0             SN_0               Tstart_0           Mass_1             Z_1                spin_1             SN_1               Tstart_1           a                  e                  Tend               Dtout              Seed             
500        912637427453038      10.2497            0.0002             0.0                delayed            zams               4.0055             0.0002             0.0                delayed            zams               1789.9300794951153    0.3203             end                events         2320131678       
501        190973909706225      8.8247             0.0002             0.0                delayed            zams               7.0539             0.0002             0.0                delayed            zams               90.0344602311666    0.3255             end                events         1253832899       
502        250429077541183      5.6461             0.0002             0.0                delayed            zams               5.0387             0.0002             0.0                delayed            zams               48.67313044083179    0.2667             end                events         1018856170       
503        885471397709450      8.4041             0.0002             0.0                delayed            zams               7.3477             0.0002             0.0                delayed            zams               704.8866935867112    0.3395             end                events         1663050195       
504        340732538511410      7.3972             0.0002             0.0                delayed            zams               6.5256             0.0002             0.0                delayed            zams               38.71888648745542    0.0799             end                events         1907288052       
505        609486249889349      10.8864            0.0002             0.0                delayed            zams               5.0479             0.0002             0.0                delayed            zams               538.4592734554287    0.2211             end                events         1375944093       
506        318004316733464      9.227              0.0002             0.0                delayed            zams               7.0577             0.0002             0.0                delayed            zams               35105.223159020614    0.103              end                events         270242502        
507        769313145354733      9.3207             0.0002             0.0                delayed            zams               7.0012             0.0002             0.0                delayed            zams               41302.357007632185    0.446              end                events         221410338        
508        775843138364678      8.3331             0.0002             0.0                delayed            zams               7.6142             0.0002             0.0                delayed            zams               555.7318462814029    0.0103             end                events         1542573150       
509        117265320515108      11.9135            0.0002             0.0                delayed            zams               2.5019             0.0002             0.0                delayed            zams               7791.760867602241    0.5083             end                events         769492435        
510        545077895689741      20.7008            0.0002             0.0                delayed            zams               8.5991             0.0002             0.0                delayed            zams               6488.150282107086    0.6443             end                events         3721538005       
511        395713100772745      8.3967             0.0002             0.0                delayed            zams               3.1726             0.0002             0.0                delayed            zams               189.13481853641449    0.8519             end                events         869133128        
512        258575601749280      18.3733            0.0002             0.0                delayed            zams               8.1519             0.0002             0.0                delayed            zams               56.9658273235636    0.0596             end                events         2000825726       
513        716312281381525      8.3305             0.0002             0.0                delayed            zams               7.7419             0.0002             0.0                delayed            zams               221.25792159116324    0.2051             end                events         2557459031       
514        549578757695562      5.3301             0.0002             0.0                delayed            zams               3.0746             0.0002             0.0                delayed            zams               125.3696867720636    0.2106             end                events         2619584408       
515        714357003828495      7.9693             0.0002             0.0                delayed            zams               4.818              0.0002             0.0                delayed            zams               128.63084785892377    0.8492             end                events         303459287        
516        246523443437244      14.4739            0.0002             0.0                delayed            zams               12.4848            0.0002             0.0                delayed            zams               250.18048109881155    0.8554             end                events         985507394        
517        185773668416546      23.1716            0.0002             0.0                delayed            zams               17.7401            0.0002             0.0                delayed            zams               4071.615006115792    0.2032             end                events         1152839471       
518        214646278827572      9.4806             0.0002             0.0                delayed            zams               6.1774             0.0002             0.0                delayed            zams               139.5012403044772    0.2119             end                events         1709142868       
519        864019424401685      5.2681             0.0002             0.0                delayed            zams               2.5312             0.0002             0.0                delayed            zams               830.9051574335599    0.3214             end                events         396851751        
520        776179309580308      5.9404             0.0002             0.0                delayed            zams               4.3471             0.0002             0.0                delayed            zams               3553.7848117948565    0.2647             end                events         3674914548       
521        856585001448174      7.4151             0.0002             0.0                delayed            zams               5.8186             0.0002             0.0                delayed            zams               6231.4671782919895    0.8821             end                events         3740750541       
522        442818635542200      5.0136             0.0002             0.0                delayed            zams               4.9863             0.0002             0.0                delayed            zams               760.9215524790269    0.3141             end                events         3563588010       
523        398800317890353      30.8956            0.0002             0.0                delayed            zams               5.3658             0.0002             0.0                delayed            zams               1844.480037156299    0.5984             end                events         1690672574       
524        700147787378177      5.0642             0.0002             0.0                delayed            zams               4.118              0.0002             0.0                delayed            zams               1765.3182733044016    0.5884             end                events         633644980        
525        685412232896787      10.6336            0.0002             0.0                delayed            zams               8.1242             0.0002             0.0                delayed            zams               519.6735046717438    0.8304             end                events         3794415265       
526        617414151773891      16.4644            0.0002             0.0                delayed            zams               6.9325             0.0002             0.0                delayed            zams               152.73495485381346    0.432              end                events         3538355106       
527        492540943361324      47.0233            0.0002             0.0                delayed            zams               8.7187             0.0002             0.0                delayed            zams               25.70539661489773    0.1172             end                events         4226750174       
528        182062787316521      15.6266            0.0002             0.0                delayed            zams               8.8914             0.0002             0.0                delayed            zams               20347.51075510259    0.4989             end                events         746593197        
529        315977708251474      10.0642            0.0002             0.0                delayed            zams               4.8625             0.0002             0.0                delayed            zams               3343.411542367948    0.048              end                events         986315130        
530        392819667209642      9.0972             0.0002             0.0                delayed            zams               3.5818             0.0002             0.0                delayed            zams               15.258600902504078    0.5055             end                events         4067028926       
531        592752144591768      5.3557             0.0002             0.0                delayed            zams               3.7553             0.0002             0.0                delayed            zams               4022.358267881993    0.0005             end                events         938509150        
532        962708325687982      5.9638             0.0002             0.0                delayed            zams               3.7545             0.0002             0.0                delayed            zams               27772.422110676314    0.0029             end                events         1671805421       
533        523530879023805      18.5312            0.0002             0.0                delayed            zams               3.9456             0.0002             0.0                delayed            zams               35.69664600006831    0.1961             end                events         1451057889       
534        467464369693560      31.3346            0.0002             0.0                delayed            zams               11.7654            0.0002             0.0                delayed            zams               158.38406542664998    0.4377             end                events         3349502408       
535        719368935409452      6.243              0.0002             0.0                delayed            zams               2.852              0.0002             0.0                delayed            zams               2638.1579460912485    0.143              end                events         3482607472       
536        633905262956055      17.5933            0.0002             0.0                delayed            zams               14.7956            0.0002             0.0                delayed            zams               27.407584851881943    0.066              end                events         1353765798       
537        339917655285400      6.3634             0.0002             0.0                delayed            zams               3.3924             0.0002             0.0                delayed            zams               5492.785612977691    0.089              end                events         2398224326       
538        622534352435645      25.1415            0.0002             0.0                delayed            zams               11.8534            0.0002             0.0                delayed            zams               202.98112120866008    0.502              end                events         4229392574       
539        382591348045827      38.3758            0.0002             0.0                delayed            zams               30.2289            0.0002             0.0                delayed            zams               2685.965622592578    0.1884             end                events         4249329011       
540        227933785827620      5.4563             0.0002             0.0                delayed            zams               4.2222             0.0002             0.0                delayed            zams               30.187932830002445    0.0414             end                events         1513074952       
541        755464259062425      17.2729            0.0002             0.0                delayed            zams               14.0465            0.0002             0.0                delayed            zams               20.449561917266085    0.1803             end                events         2804986627       
542        362560452238828      5.6115             0.0002             0.0                delayed            zams               5.0297             0.0002             0.0                delayed            zams               79.40302750434563    0.441              end                events         2607761018       
543        291021922560192      9.6506             0.0002             0.0                delayed            zams               9.3118             0.0002             0.0                delayed            zams               9799.115961782873    0.5491             end                events         337888272        
544        355145580941236      12.0891            0.0002             0.0                delayed            zams               4.394              0.0002             0.0                delayed            zams               34.71592966918326    0.2147             end                events         1188256367       
545        349748350210267      9.2695             0.0002             0.0                delayed            zams               6.6165             0.0002             0.0                delayed            zams               1566.027760242096    0.5661             end                events         3827623439       
546        588162689895066      41.6605            0.0002             0.0                delayed            zams               6.3165             0.0002             0.0                delayed            zams               49.17527510128228    0.0067             end                events         235597076        
547        114601237030738      6.7655             0.0002             0.0                delayed            zams               6.7421             0.0002             0.0                delayed            zams               55.39964718091228    0.6544             end                events         2742262385       
548        440498889240771      13.6587            0.0002             0.0                delayed            zams               6.738              0.0002             0.0                delayed            zams               362.96766610396617    0.3457             end                events         998290414        
549        241950619551231      12.9517            0.0002             0.0                delayed            zams               6.0293             0.0002             0.0                delayed            zams               22.77947991198668    0.2986             end                events         2040580006       
550        814104769811249      6.1704             0.0002             0.0                delayed            zams               4.573              0.0002             0.0                delayed            zams               20.01974812389276    0.8685             end                events         1931292629       
551        402668697833216      7.0206             0.0002             0.0                delayed            zams               5.7867             0.0002             0.0                delayed            zams               13.417715065869308    0.1891             end                events         2448321264       
552        424784965153143      7.1971             0.0002             0.0                delayed            zams               3.3594             0.0002             0.0                delayed            zams               359.7143559779382    0.0606             end                events         1800474664       
553        496156428985937      6.1825             0.0002             0.0                delayed            zams               5.7336             0.0002             0.0                delayed            zams               941.869447168069    0.4174             end                events         1164283325       
554        846509738930944      8.5083             0.0002             0.0                delayed            zams               4.1751             0.0002             0.0                delayed            zams               545.5929943770586    0.8854             end                events         748293844        
555        392827925212397      8.8734             0.0002             0.0                delayed            zams               7.8968             0.0002             0.0                delayed            zams               16.491692365097776    0.0071             end                events         3652738286       
556        687131613229669      5.1693             0.0002             0.0                delayed            zams               3.2268             0.0002             0.0                delayed            zams               49.46355610308925    0.0223             end                events         638701475        
557        892783463958219      9.8308             0.0002             0.0                delayed            zams               2.5869             0.0002             0.0                delayed            zams               582.5825545994867    0.2732             end                events         1629027990       
558        100836701196663      7.4935             0.0002             0.0                delayed            zams               4.4779             0.0002             0.0                delayed            zams               8051.8052256143155    0.1235             end                events         1455046134       
559        112445369472940      5.2705             0.0002             0.0                delayed            zams               2.3357             0.0002             0.0                delayed            zams               2711.091658155829    0.8631             end                events         1070932496       
560        353569152958985      6.0351             0.0002             0.0                delayed            zams               3.4629             0.0002             0.0                delayed            zams               13.986171685853366    0.021              end                events         3095901689       
561        720808519072553      14.125             0.0002             0.0                delayed            zams               12.8993            0.0002             0.0                delayed            zams               589.0941450775788    0.1513             end                events         1259918829       
562        361229731344007      9.8714             0.0002             0.0                delayed            zams               8.3387             0.0002             0.0                delayed            zams               25.761595588695545    0.2074             end                events         2274532988       
563        672210475792648      36.5636            0.0002             0.0                delayed            zams               6.057              0.0002             0.0                delayed            zams               259.8068713448735    0.337              end                events         3496192244       
564        650103410338142      13.8783            0.0002             0.0                delayed            zams               6.718              0.0002             0.0                delayed            zams               291.7011414751332    0.3239             end                events         399823941        
565        856591295336074      16.4703            0.0002             0.0                delayed            zams               8.0034             0.0002             0.0                delayed            zams               1126.5203744566338    0.0341             end                events         2214855909       
566        149323494633687      6.2626             0.0002             0.0                delayed            zams               2.7068             0.0002             0.0                delayed            zams               14.413030427399184    0.2276             end                events         1511388934       
567        345877327765708      9.5931             0.0002             0.0                delayed            zams               7.2729             0.0002             0.0                delayed            zams               23.467322861698808    0.5378             end                events         3843190055       
568        692312675841405      5.536              0.0002             0.0                delayed            zams               4.9612             0.0002             0.0                delayed            zams               26022.04411349692    0.004              end                events         3910208345       
569        969471413278314      12.1119            0.0002             0.0                delayed            zams               11.6216            0.0002             0.0                delayed            zams               27.122175651118567    0.4182             end                events         896908758        
570        562213667878275      6.5301             0.0002             0.0                delayed            zams               3.1633             0.0002             0.0                delayed            zams               7780.105128684547    0.6323             end                events         3534259463       
571        104079832852254      63.256             0.0002             0.0                delayed            zams               13.4744            0.0002             0.0                delayed            zams               83.78607786624717    0.03               end                events         840061346        
572        474124097591107      6.1186             0.0002             0.0                delayed            zams               4.1538             0.0002             0.0                delayed            zams               14.122861195864404    0.6105             end                events         2089513301       
573        513725998356874      14.6493            0.0002             0.0                delayed            zams               2.6072             0.0002             0.0                delayed            zams               1075.6820841164144    0.659              end                events         1975863347       
574        162854417226129      6.7883             0.0002             0.0                delayed            zams               3.2655             0.0002             0.0                delayed            zams               76.03285357426894    0.3085             end                events         3783946684       
575        224947932706394      17.7178            0.0002             0.0                delayed            zams               13.1065            0.0002             0.0                delayed            zams               2603.9612337323774    0.1242             end                events         2183380311       
576        763592966640809      9.3206             0.0002             0.0                delayed            zams               5.3762             0.0002             0.0                delayed            zams               926.9427080334189    0.2677             end                events         1820847010       
