0.00000000e+00   0   2.36012383e+01   1   9.54629595e+02   2   9.55720273e+02   3   9.77382906e+02   4   1.21309500e+03   5   1.21367102e+03   6   
0.00000000e+00   0   1.86011084e+01   1   7.43027962e+02   2   7.43830865e+02   3   8.37529328e+02   4   9.31809567e+02   5   9.32247047e+02   6   
0.00000000e+00   0   1.55953893e+01   1   5.91635827e+02   2   5.92249471e+02   3   6.43720730e+02   4   7.31190526e+02   5   7.31526844e+02   6   
0.00000000e+00   0   1.26857951e+01   1   4.74857827e+02   2   4.75328955e+02   3   5.02012804e+02   4   5.81100929e+02   5   5.81384382e+02   6   
0.00000000e+00   0   1.02081210e+01   1   3.92636669e+02   2   3.93015760e+02   3   4.04640432e+02   4   4.73027244e+02   5   4.73247984e+02   6   
0.00000000e+00   0   8.87187467e+00   1   3.27120602e+02   2   3.27428675e+02   3   3.36149653e+02   4   3.88543338e+02   5   3.88718201e+02   6   
0.00000000e+00   0   7.82967769e+00   1   2.77320638e+02   2   2.77574702e+02   3   2.84453601e+02   4   3.26085814e+02   5   3.26227463e+02   6   
0.00000000e+00   0   6.55680412e+00   1   2.35839500e+02   2   2.36048813e+02   3   2.41874851e+02   4   2.74922176e+02   5   2.75039019e+02   6   
0.00000000e+00   0   5.78863343e+00   1   2.03248755e+02   2   2.03427319e+02   3   2.08333235e+02   4   2.35928649e+02   5   2.36025819e+02   6   
0.00000000e+00   0   5.03136686e+00   1   1.76933719e+02   2   1.77083892e+02   3   1.81264173e+02   4   2.03960681e+02   5   2.04038250e+02   6   
0.00000000e+00   0   3.55419179e+00   1   1.28525392e+02   2   1.28630562e+02   3   1.31626924e+02   4   1.46842189e+02   5   1.46900898e+02   6   
0.00000000e+00   0   2.87805344e+00   1   9.78279251e+01   2   9.79052072e+01   3   1.00107505e+02   4   1.11054325e+02   5   1.11096215e+02   6   
0.00000000e+00   0   2.21541652e+00   1   7.68846361e+01   2   7.69448673e+01   3   7.85951663e+01   4   8.66920025e+01   5   8.67260469e+01   6   
0.00000000e+00   0   1.74728293e+00   1   6.20181252e+01   2   6.20657932e+01   3   6.33591071e+01   4   6.97006449e+01   5   6.97259256e+01   6   
0.00000000e+00   0   1.54374403e+00   1   5.71477140e+01   2   5.71914625e+01   3   5.83550707e+01   4   6.41647672e+01   5   6.41889586e+01   6   
0.00000000e+00   0   1.45700376e+00   1   5.30812249e+01   2   5.31226408e+01   3   5.41854773e+01   4   5.94719006e+01   5   5.94940355e+01   6   
0.00000000e+00   0   1.21458780e+00   1   4.31273305e+01   2   4.31612148e+01   3   4.39616833e+01   4   4.81293894e+01   5   4.81470614e+01   6   
0.00000000e+00   0   9.99676237e-01   1   3.70379890e+01   2   3.70666984e+01   3   3.77097673e+01   4   4.12219969e+01   5   4.12364914e+01   6   
0.00000000e+00   0   8.41499965e-01   1   3.21189758e+01   2   3.21444003e+01   3   3.26668472e+01   4   3.56668052e+01   5   3.56792469e+01   6   
0.00000000e+00   0   6.86340081e-01   1   2.56227353e+01   2   2.56436345e+01   3   2.60229063e+01   4   2.83753237e+01   5   2.83847407e+01   6   
0.00000000e+00   0   5.43481814e-01   1   2.07920590e+01   2   2.08095747e+01   3   2.10554210e+01   4   2.29443048e+01   5   2.29518337e+01   6   
0.00000000e+00   0   3.71208203e-01   1   1.50253286e+01   2   1.50386279e+01   3   1.50780544e+01   4   1.64942494e+01   5   1.64994780e+01   6   
0.00000000e+00   0   2.94477709e-01   1   1.18206066e+01   2   1.18313175e+01   3   1.18576384e+01   4   1.29254193e+01   5   1.29292088e+01   6   
0.00000000e+00   0   2.24427594e-01   1   9.82469308e+00   2   9.83383039e+00   3   9.85222875e+00   4   1.07269759e+01   5   1.07300984e+01   6   
0.00000000e+00   0   1.94035244e-01   1   8.46654847e+00   2   8.47468422e+00   3   8.48968989e+00   4   9.24694096e+00   5   9.24962180e+00   6   
0.00000000e+00   0   1.75437616e-01   1   7.50134301e+00   2   7.50867991e+00   3   7.52160472e+00   4   8.20209141e+00   5   8.20443507e+00   6   
0.00000000e+00   0   1.10436312e-01   1   5.15551574e+00   2   5.16139510e+00   3   5.16925539e+00   4   5.76155807e+00   5   5.76369570e+00   6   
0.00000000e+00   0   7.34993253e-02   1   3.75666340e+00   2   3.76196425e+00   3   3.76686986e+00   4   4.31306818e+00   5   4.31517673e+00   6   
0.00000000e+00   0   6.43825245e-02   1   3.45225985e+00   2   3.45787252e+00   3   3.46319521e+00   4   4.02931707e+00   5   4.03142983e+00   6   
0.00000000e+00   0   5.90453059e-02   1   3.25028983e+00   2   3.25630986e+00   3   3.26222372e+00   4   3.85007588e+00   5   3.85221763e+00   6   
0.00000000e+00   0   5.34456028e-02   1   3.12883604e+00   2   3.13531036e+00   3   3.14208103e+00   4   3.74574477e+00   5   3.74791423e+00   6   
0.00000000e+00   0   5.20068605e-02   1   3.04121152e+00   2   3.04802292e+00   3   3.05576332e+00   4   3.67221530e+00   5   3.67436545e+00   6   
0.00000000e+00   0   4.89859807e-02   1   2.98355183e+00   2   2.99093641e+00   3   2.99962264e+00   4   3.62189652e+00   5   3.62409335e+00   6   
0.00000000e+00   0   3.74130689e-02   1   2.84366405e+00   2   2.85268374e+00   3   2.86614353e+00   4   3.50323532e+00   5   3.50553861e+00   6   
0.00000000e+00   0   3.57459848e-02   1   2.83860834e+00   2   2.84776214e+00   3   2.86510798e+00   4   3.52720479e+00   5   3.52949906e+00   6   
0.00000000e+00   0   3.30528232e-02   1   2.76702308e+00   2   2.77627784e+00   3   2.79359098e+00   4   3.45294276e+00   5   3.45517915e+00   6   
0.00000000e+00   0   3.06678232e-02   1   2.76659783e+00   2   2.77579467e+00   3   2.79312307e+00   4   3.45398350e+00   5   3.45625999e+00   6   
0.00000000e+00   0   7.79111353e-02   1   2.75985125e+00   2   2.76906537e+00   3   2.78630814e+00   4   3.44758897e+00   5   3.44987227e+00   6   
0.00000000e+00   0   1.28374491e-01   1   2.75873593e+00   2   2.76803519e+00   3   2.78529964e+00   4   3.44676039e+00   5   3.44903658e+00   6   
0.00000000e+00   0   1.41467302e-01   1   2.77210279e+00   2   2.78139174e+00   3   2.79922306e+00   4   3.46249096e+00   5   3.46478223e+00   6   
0.00000000e+00   0   1.52011826e-01   1   2.77695620e+00   2   2.78623606e+00   3   2.80404928e+00   4   3.46634787e+00   5   3.46863486e+00   6   
