0.00000000e+00   0   1.01617166e+02   1   5.99885354e+03   2   6.12914886e+03   3   6.45146124e+03   4   6.52314758e+03   5   6.52329461e+03   6   
0.00000000e+00   0   9.55443256e+01   1   5.60067095e+03   2   5.72149699e+03   3   6.02427640e+03   4   6.09589865e+03   5   6.09602643e+03   6   
0.00000000e+00   0   8.67877435e+01   1   5.23331591e+03   2   5.34845396e+03   3   5.63421027e+03   4   5.70798705e+03   5   5.70813956e+03   6   
0.00000000e+00   0   8.28561633e+01   1   4.89767732e+03   2   5.00894480e+03   3   5.27780957e+03   4   5.35113086e+03   5   5.35128655e+03   6   
0.00000000e+00   0   7.95184785e+01   1   4.59139189e+03   2   4.69605310e+03   3   4.95063838e+03   4   5.02470181e+03   5   5.02485839e+03   6   
0.00000000e+00   0   7.51425455e+01   1   4.29984308e+03   2   4.41039306e+03   3   4.65002176e+03   4   4.72315046e+03   5   4.72330365e+03   6   
0.00000000e+00   0   7.04123269e+01   1   4.04272344e+03   2   4.14740766e+03   3   4.37306460e+03   4   4.44783374e+03   5   4.44799877e+03   6   
0.00000000e+00   0   6.62428747e+01   1   3.80594390e+03   2   3.90005496e+03   3   4.11835453e+03   4   4.19499190e+03   5   4.19516123e+03   6   
0.00000000e+00   0   6.44439391e+01   1   3.58970557e+03   2   3.67654383e+03   3   3.88416037e+03   4   3.96052061e+03   5   3.96068191e+03   6   
0.00000000e+00   0   6.04903188e+01   1   3.38558705e+03   2   3.46978890e+03   3   3.66634523e+03   4   3.74551450e+03   5   3.74569855e+03   6   
0.00000000e+00   0   5.75489824e+01   1   3.19218678e+03   2   3.28002636e+03   3   3.46540647e+03   4   3.54860757e+03   5   3.54880570e+03   6   
0.00000000e+00   0   5.46318422e+01   1   3.01855044e+03   2   3.10390983e+03   3   3.27975829e+03   4   3.36703027e+03   5   3.36722192e+03   6   
0.00000000e+00   0   5.30209675e+01   1   2.85566512e+03   2   2.94113776e+03   3   3.10686503e+03   4   3.19540586e+03   5   3.19559801e+03   6   
0.00000000e+00   0   5.06682346e+01   1   2.70546011e+03   2   2.78833662e+03   3   2.94547839e+03   4   3.03664659e+03   5   3.03684333e+03   6   
0.00000000e+00   0   4.83329642e+01   1   2.56757203e+03   2   2.64647901e+03   3   2.79530040e+03   4   2.89229222e+03   5   2.89249038e+03   6   
0.00000000e+00   0   4.62517359e+01   1   2.43788704e+03   2   2.51048515e+03   3   2.65411969e+03   4   2.75689462e+03   5   2.75712572e+03   6   
0.00000000e+00   0   4.40762292e+01   1   2.31595503e+03   2   2.38666856e+03   3   2.52194559e+03   4   2.63457721e+03   5   2.63474128e+03   6   
0.00000000e+00   0   4.25883486e+01   1   2.20131173e+03   2   2.27239001e+03   3   2.39824548e+03   4   2.51851632e+03   5   2.51870826e+03   6   
0.00000000e+00   0   4.02883954e+01   1   2.09721696e+03   2   2.16484933e+03   3   2.28261120e+03   4   2.40815972e+03   5   2.40834976e+03   6   
0.00000000e+00   0   3.83514507e+01   1   1.99815470e+03   2   2.06324682e+03   3   2.17420716e+03   4   2.30518322e+03   5   2.30536403e+03   6   
0.00000000e+00   0   3.73547112e+01   1   1.90535970e+03   2   1.96873848e+03   3   2.07355638e+03   4   2.20536125e+03   5   2.20552216e+03   6   
0.00000000e+00   0   3.61960879e+01   1   1.81377829e+03   2   1.87954920e+03   3   1.97813404e+03   4   2.11299643e+03   5   2.11313958e+03   6   
0.00000000e+00   0   3.43627591e+01   1   1.73347052e+03   2   1.79599410e+03   3   1.88930705e+03   4   2.02496119e+03   5   2.02510191e+03   6   
0.00000000e+00   0   3.36269370e+01   1   1.65541064e+03   2   1.71692268e+03   3   1.80622436e+03   4   1.93829168e+03   5   1.93842630e+03   6   
0.00000000e+00   0   3.22094593e+01   1   1.58375427e+03   2   1.64310242e+03   3   1.72800829e+03   4   1.86058492e+03   5   1.86071758e+03   6   
0.00000000e+00   0   3.11956607e+01   1   1.51223757e+03   2   1.57017055e+03   3   1.65349431e+03   4   1.78489244e+03   5   1.78502006e+03   6   
0.00000000e+00   0   3.04096043e+01   1   1.44946581e+03   2   1.50468188e+03   3   1.58416382e+03   4   1.71039564e+03   5   1.71051367e+03   6   
0.00000000e+00   0   2.88297764e+01   1   1.38797706e+03   2   1.44227706e+03   3   1.51870506e+03   4   1.64657047e+03   5   1.64669019e+03   6   
0.00000000e+00   0   2.82792440e+01   1   1.32784903e+03   2   1.38373366e+03   3   1.45699438e+03   4   1.58005147e+03   5   1.58016186e+03   6   
0.00000000e+00   0   2.72928619e+01   1   1.27384886e+03   2   1.32792913e+03   3   1.39838750e+03   4   1.52004861e+03   5   1.52014582e+03   6   
0.00000000e+00   0   2.64314030e+01   1   1.22100661e+03   2   1.27574502e+03   3   1.34314059e+03   4   1.46158881e+03   5   1.46168270e+03   6   
0.00000000e+00   0   2.55967947e+01   1   1.17132804e+03   2   1.22549050e+03   3   1.29069495e+03   4   1.40836124e+03   5   1.40845742e+03   6   
0.00000000e+00   0   2.43921382e+01   1   1.12799649e+03   2   1.17864991e+03   3   1.24147706e+03   4   1.35604914e+03   5   1.35613504e+03   6   
0.00000000e+00   0   2.39610045e+01   1   1.08248182e+03   2   1.13318119e+03   3   1.19427976e+03   4   1.30592879e+03   5   1.30600856e+03   6   
0.00000000e+00   0   2.28094884e+01   1   1.04133967e+03   2   1.09055876e+03   3   1.14960059e+03   4   1.26029493e+03   5   1.26036341e+03   6   
0.00000000e+00   0   2.18356924e+01   1   1.00010908e+03   2   1.04821552e+03   3   1.10716857e+03   4   1.21543205e+03   5   1.21550038e+03   6   
0.00000000e+00   0   2.15743767e+01   1   9.62277088e+02   2   1.00966207e+03   3   1.06708655e+03   4   1.17160999e+03   5   1.17167063e+03   6   
0.00000000e+00   0   2.05052020e+01   1   9.28496692e+02   2   9.73070981e+02   3   1.02857376e+03   4   1.13199039e+03   5   1.13205107e+03   6   
0.00000000e+00   0   1.99319747e+01   1   8.93840795e+02   2   9.37869591e+02   3   9.92031989e+02   4   1.09217229e+03   5   1.09223198e+03   6   
0.00000000e+00   0   1.98013979e+01   1   8.61514312e+02   2   9.05596107e+02   3   9.57534032e+02   4   1.05627444e+03   5   1.05633158e+03   6   
0.00000000e+00   0   1.88106188e+01   1   8.30129392e+02   2   8.73590921e+02   3   9.24507913e+02   4   1.02116702e+03   5   1.02122360e+03   6   
0.00000000e+00   0   1.86133926e+01   1   8.00209399e+02   2   8.43307319e+02   3   8.92781028e+02   4   9.86341376e+02   5   9.86400147e+02   6   
0.00000000e+00   0   1.80415035e+01   1   7.72615956e+02   2   8.14529677e+02   3   8.63568570e+02   4   9.55135716e+02   5   9.55190312e+02   6   
0.00000000e+00   0   1.71897464e+01   1   7.43929844e+02   2   7.86905929e+02   3   8.34483867e+02   4   9.23934548e+02   5   9.23990443e+02   6   
0.00000000e+00   0   1.67812356e+01   1   7.19634316e+02   2   7.60775140e+02   3   8.06742480e+02   4   8.94802841e+02   5   8.94854097e+02   6   
0.00000000e+00   0   1.68017221e+01   1   6.95864768e+02   2   7.35364099e+02   3   7.80981855e+02   4   8.67379108e+02   5   8.67432194e+02   6   
0.00000000e+00   0   1.62095438e+01   1   6.70944453e+02   2   7.11277994e+02   3   7.55523965e+02   4   8.39934395e+02   5   8.39987206e+02   6   
0.00000000e+00   0   1.55521629e+01   1   6.50787713e+02   2   6.89145750e+02   3   7.31934967e+02   4   8.15728945e+02   5   8.15780186e+02   6   
0.00000000e+00   0   1.52635496e+01   1   6.26243186e+02   2   6.65811010e+02   3   7.08581639e+02   4   7.89992657e+02   5   7.90040745e+02   6   
