0.00000000e+00   0   2.53684954e+01   1   1.26453600e+03   2   1.26461837e+03   3   1.28759634e+03   4   1.52370466e+03   5   1.52526237e+03   6   
0.00000000e+00   0   1.49366065e+01   1   7.27691901e+02   2   7.27732856e+02   3   7.37501262e+02   4   8.71355586e+02   5   8.71916393e+02   6   
0.00000000e+00   0   1.09137141e+01   1   4.59532627e+02   2   4.59556561e+02   3   4.64477485e+02   4   5.38784559e+02   5   5.38985576e+02   6   
0.00000000e+00   0   7.42373623e+00   1   3.10264305e+02   2   3.10279980e+02   3   3.13127077e+02   4   3.56726360e+02   5   3.56844375e+02   6   
0.00000000e+00   0   5.32861409e+00   1   2.20484120e+02   2   2.20495188e+02   3   2.22287306e+02   4   2.50859714e+02   5   2.50937689e+02   6   
0.00000000e+00   0   4.00339366e+00   1   1.63425204e+02   2   1.63433158e+02   3   1.64636795e+02   4   1.84308434e+02   5   1.84366852e+02   6   
0.00000000e+00   0   3.08601935e+00   1   1.25354681e+02   2   1.25360732e+02   3   1.26208901e+02   4   1.40924094e+02   5   1.40969047e+02   6   
0.00000000e+00   0   2.46324223e+00   1   9.90363500e+01   2   9.90411633e+01   3   9.96535353e+01   4   1.10661012e+02   5   1.10695727e+02   6   
0.00000000e+00   0   1.93711538e+00   1   8.01278235e+01   2   8.01308811e+01   3   8.05811593e+01   4   8.92149886e+01   5   8.92428929e+01   6   
0.00000000e+00   0   1.47243632e+00   1   6.61260910e+01   2   6.61286163e+01   3   6.64727239e+01   4   7.34539814e+01   5   7.34769736e+01   6   
0.00000000e+00   0   1.20021448e+00   1   5.55302463e+01   2   5.55322719e+01   3   5.58004986e+01   4   6.15977854e+01   5   6.16173358e+01   6   
0.00000000e+00   0   9.96431835e-01   1   4.74093493e+01   2   4.74109118e+01   3   4.76226785e+01   4   5.25002346e+01   5   5.25169379e+01   6   
0.00000000e+00   0   8.51219066e-01   1   4.10394305e+01   2   4.10408055e+01   3   4.12140734e+01   4   4.53687080e+01   5   4.53833614e+01   6   
0.00000000e+00   0   7.46216195e-01   1   3.59434099e+01   2   3.59444785e+01   3   3.60883589e+01   4   3.96950981e+01   5   3.97081251e+01   6   
0.00000000e+00   0   6.52034765e-01   1   3.17967838e+01   2   3.17977844e+01   3   3.19174418e+01   4   3.50759082e+01   5   3.50866362e+01   6   
0.00000000e+00   0   5.83446909e-01   1   2.84171439e+01   2   2.84178641e+01   3   2.85201751e+01   4   3.13115611e+01   5   3.13213254e+01   6   
0.00000000e+00   0   5.11566740e-01   1   2.56127972e+01   2   2.56135311e+01   3   2.57008157e+01   4   2.81944567e+01   5   2.82034013e+01   6   
0.00000000e+00   0   4.62878356e-01   1   2.32531485e+01   2   2.32537323e+01   3   2.33315444e+01   4   2.55774407e+01   5   2.55855478e+01   6   
0.00000000e+00   0   4.15411642e-01   1   2.12636328e+01   2   2.12641658e+01   3   2.13321058e+01   4   2.33681540e+01   5   2.33756522e+01   6   
0.00000000e+00   0   3.76156619e-01   1   1.95645659e+01   2   1.95650102e+01   3   1.96266096e+01   4   2.14843554e+01   5   2.14914919e+01   6   
0.00000000e+00   0   3.40270028e-01   1   1.81092691e+01   2   1.81096765e+01   3   1.81643595e+01   4   1.98717318e+01   5   1.98785049e+01   6   
0.00000000e+00   0   2.33034830e-01   1   1.31226317e+01   2   1.31229545e+01   3   1.31585163e+01   4   1.43537997e+01   5   1.43584645e+01   6   
0.00000000e+00   0   1.78194683e-01   1   1.04233369e+01   2   1.04234890e+01   3   1.04487004e+01   4   1.14035005e+01   5   1.14072638e+01   6   
0.00000000e+00   0   1.38041900e-01   1   8.66391840e+00   2   8.66404562e+00   3   8.68413068e+00   4   9.47132555e+00   5   9.47463583e+00   6   
0.00000000e+00   0   1.15633821e-01   1   7.49510336e+00   2   7.49520808e+00   3   7.51198466e+00   4   8.19506647e+00   5   8.19802101e+00   6   
0.00000000e+00   0   4.74503242e-02   1   4.26345734e+00   2   4.26348157e+00   3   4.27669121e+00   4   4.77093952e+00   5   4.77350140e+00   6   
0.00000000e+00   0   4.37487978e-02   1   4.10644799e+00   2   4.10646731e+00   3   4.11821284e+00   4   4.60119746e+00   5   4.60370927e+00   6   
0.00000000e+00   0   4.05222043e-02   1   3.97579297e+00   2   3.97580697e+00   3   3.98534212e+00   4   4.46236608e+00   5   4.46488071e+00   6   
0.00000000e+00   0   3.83883367e-02   1   3.86720087e+00   2   3.86721433e+00   3   3.87630161e+00   4   4.34527199e+00   5   4.34772745e+00   6   
0.00000000e+00   0   3.72154524e-02   1   3.76812202e+00   2   3.76813215e+00   3   3.77683271e+00   4   4.23972281e+00   5   4.24217442e+00   6   
0.00000000e+00   0   3.50621466e-02   1   3.67654499e+00   2   3.67655478e+00   3   3.68509699e+00   4   4.14009587e+00   5   4.14235048e+00   6   
0.00000000e+00   0   3.40447270e-02   1   3.59243567e+00   2   3.59244305e+00   3   3.60094206e+00   4   4.04946364e+00   5   4.05181466e+00   6   
0.00000000e+00   0   3.52900675e-02   1   3.51420743e+00   2   3.51421377e+00   3   3.52261587e+00   4   3.96525667e+00   5   3.96759389e+00   6   
0.00000000e+00   0   3.20328513e-02   1   3.44042190e+00   2   3.44042688e+00   3   3.44811677e+00   4   3.88466379e+00   5   3.88681053e+00   6   
