0.00000000e+00   0   1.59620381e+01   1   7.67003952e+02   2   7.67046291e+02   3   7.79589753e+02   4   9.38498713e+02   5   9.38731134e+02   6   
0.00000000e+00   0   9.54291377e+00   1   4.85941005e+02   2   4.85966370e+02   3   4.91192562e+02   4   5.69645418e+02   5   5.69773910e+02   6   
0.00000000e+00   0   6.46169610e+00   1   3.34523050e+02   2   3.34540084e+02   3   3.37357745e+02   4   3.80700908e+02   5   3.80779826e+02   6   
0.00000000e+00   0   4.51574494e+00   1   2.43836965e+02   2   2.43848148e+02   3   2.45590578e+02   4   2.73360700e+02   5   2.73414425e+02   6   
0.00000000e+00   0   3.45038142e+00   1   1.85806448e+02   2   1.85814632e+02   3   1.86990575e+02   4   2.06713993e+02   5   2.06754876e+02   6   
0.00000000e+00   0   2.62284780e+00   1   1.46539438e+02   2   1.46545874e+02   3   1.47363900e+02   4   1.62101600e+02   5   1.62134479e+02   6   
0.00000000e+00   0   2.09083539e+00   1   1.18725747e+02   2   1.18730338e+02   3   1.19342074e+02   4   1.30718729e+02   5   1.30743345e+02   6   
0.00000000e+00   0   1.69531843e+00   1   9.86186740e+01   2   9.86220031e+01   3   9.90866058e+01   4   1.08298469e+02   5   1.08319401e+02   6   
0.00000000e+00   0   1.42014104e+00   1   8.32862313e+01   2   8.32889902e+01   3   8.36493960e+01   4   9.10436032e+01   5   9.10610775e+01   6   
0.00000000e+00   0   1.18627530e+00   1   7.14444351e+01   2   7.14465487e+01   3   7.17385764e+01   4   7.79483696e+01   5   7.79634861e+01   6   
0.00000000e+00   0   1.07061133e+00   1   6.20346020e+01   2   6.20364263e+01   3   6.22737800e+01   4   6.75647388e+01   5   6.75779806e+01   6   
0.00000000e+00   0   9.23820646e-01   1   5.45706133e+01   2   5.45722018e+01   3   5.47681749e+01   4   5.93291297e+01   5   5.93410557e+01   6   
0.00000000e+00   0   8.32198031e-01   1   4.85111437e+01   2   4.85125344e+01   3   4.86720642e+01   4   5.26529652e+01   5   5.26643490e+01   6   
0.00000000e+00   0   7.39624126e-01   1   4.35089399e+01   2   4.35102297e+01   3   4.36459131e+01   4   4.71569423e+01   5   4.71672123e+01   6   
0.00000000e+00   0   6.21307603e-01   1   3.93347663e+01   2   3.93358110e+01   3   3.94539347e+01   4   4.25730801e+01   5   4.25825867e+01   6   
0.00000000e+00   0   6.03127084e-01   1   3.58163023e+01   2   3.58171750e+01   3   3.59195619e+01   4   3.87152662e+01   5   3.87235335e+01   6   
0.00000000e+00   0   5.11663129e-01   1   3.28172703e+01   2   3.28180472e+01   3   3.29070648e+01   4   3.54406760e+01   5   3.54487107e+01   6   
0.00000000e+00   0   4.73792185e-01   1   3.02404096e+01   2   3.02411445e+01   3   3.03213344e+01   4   3.26299295e+01   5   3.26376366e+01   6   
0.00000000e+00   0   4.46641962e-01   1   2.80068171e+01   2   2.80074146e+01   3   2.80783146e+01   4   3.01945664e+01   5   3.02015891e+01   6   
0.00000000e+00   0   4.00914468e-01   1   2.60588211e+01   2   2.60593789e+01   3   2.61241172e+01   4   2.80690944e+01   5   2.80756153e+01   6   
0.00000000e+00   0   3.74771231e-01   1   2.43508606e+01   2   2.43513824e+01   3   2.44092424e+01   4   2.62116932e+01   5   2.62179727e+01   6   
0.00000000e+00   0   2.75642350e-01   1   1.82591867e+01   2   1.82595135e+01   3   1.82989683e+01   4   1.96094352e+01   5   1.96151341e+01   6   
0.00000000e+00   0   2.11797845e-01   1   1.46255484e+01   2   1.46257408e+01   3   1.46497260e+01   4   1.56618976e+01   5   1.56662672e+01   6   
0.00000000e+00   0   1.79695670e-01   1   1.22411300e+01   2   1.22412968e+01   3   1.22600011e+01   4   1.31278358e+01   5   1.31317831e+01   6   
0.00000000e+00   0   1.45259267e-01   1   1.05848909e+01   2   1.05850353e+01   3   1.06005631e+01   4   1.13524581e+01   5   1.13558371e+01   6   
0.00000000e+00   0   1.25795150e-01   1   9.37105261e+00   2   9.37118024e+00   3   9.38436120e+00   4   1.00517001e+01   5   1.00548256e+01   6   
0.00000000e+00   0   9.60060891e-02   1   8.45221836e+00   2   8.45233489e+00   3   8.46406364e+00   4   9.07192900e+00   5   9.07451802e+00   6   
0.00000000e+00   0   1.03036199e-01   1   7.72916332e+00   2   7.72927114e+00   3   7.73979268e+00   4   8.29869425e+00   5   8.30121074e+00   6   
0.00000000e+00   0   9.46926151e-02   1   7.14889027e+00   2   7.14898997e+00   3   7.15864974e+00   4   7.67666680e+00   5   7.67908181e+00   6   
0.00000000e+00   0   6.84658135e-02   1   6.67339891e+00   2   6.67349203e+00   3   6.68255214e+00   4   7.17080431e+00   5   7.17301480e+00   6   
0.00000000e+00   0   7.88826829e-02   1   6.27961435e+00   2   6.27970207e+00   3   6.28833392e+00   4   6.74956839e+00   5   6.75167119e+00   6   
0.00000000e+00   0   7.33765476e-02   1   5.94595833e+00   2   5.94604179e+00   3   5.95416009e+00   4   6.39173307e+00   5   6.39373265e+00   6   
0.00000000e+00   0   6.83795380e-02   1   5.66258791e+00   2   5.66266817e+00   3   5.67056352e+00   4   6.08994970e+00   5   6.09193012e+00   6   
0.00000000e+00   0   6.82605003e-02   1   5.41453055e+00   2   5.41460766e+00   3   5.42213863e+00   4   5.82538028e+00   5   5.82736366e+00   6   
0.00000000e+00   0   5.02171065e-02   1   5.19929141e+00   2   5.19936558e+00   3   5.20679342e+00   4   5.59719914e+00   5   5.59905153e+00   6   
0.00000000e+00   0   5.84835509e-02   1   5.00947907e+00   2   5.00955074e+00   3   5.01655747e+00   4   5.39447921e+00   5   5.39633482e+00   6   
0.00000000e+00   0   5.15393350e-02   1   4.84193964e+00   2   4.84200913e+00   3   4.84885664e+00   4   5.21604280e+00   5   5.21777989e+00   6   
0.00000000e+00   0   5.95528002e-02   1   4.69170045e+00   2   4.69176805e+00   3   4.69850937e+00   4   5.05711702e+00   5   5.05885404e+00   6   
0.00000000e+00   0   5.09398941e-02   1   4.55371761e+00   2   4.55378357e+00   3   4.56035640e+00   4   4.91125212e+00   5   4.91286028e+00   6   
0.00000000e+00   0   4.95738069e-02   1   4.43167544e+00   2   4.43173984e+00   3   4.43821240e+00   4   4.78083456e+00   5   4.78245886e+00   6   
0.00000000e+00   0   5.03055796e-02   1   4.31803194e+00   2   4.31809503e+00   3   4.32438918e+00   4   4.66066875e+00   5   4.66230756e+00   6   
0.00000000e+00   0   4.66819721e-02   1   4.21621257e+00   2   4.21627429e+00   3   4.22243275e+00   4   4.55271807e+00   5   4.55431886e+00   6   
0.00000000e+00   0   4.50514227e-02   1   4.12160883e+00   2   4.12166946e+00   3   4.12781034e+00   4   4.45271259e+00   5   4.45426212e+00   6   
0.00000000e+00   0   4.38533125e-02   1   4.03474668e+00   2   4.03480633e+00   3   4.04069262e+00   4   4.36013188e+00   5   4.36163777e+00   6   
0.00000000e+00   0   3.47367478e-02   1   3.95517798e+00   2   3.95523661e+00   3   3.96126056e+00   4   4.27580963e+00   5   4.27731844e+00   6   
0.00000000e+00   0   3.42019713e-02   1   3.87984876e+00   2   3.87990644e+00   3   3.88569624e+00   4   4.19690382e+00   5   4.19836483e+00   6   
0.00000000e+00   0   3.90686070e-02   1   3.81129558e+00   2   3.81135237e+00   3   3.81701456e+00   4   4.12376034e+00   5   4.12521286e+00   6   
0.00000000e+00   0   3.92232281e-02   1   3.74751770e+00   2   3.74757379e+00   3   3.75316626e+00   4   4.05751934e+00   5   4.05903700e+00   6   
