0.00000000e+00   0   1.81548868e+01   1   7.24862555e+02   2   7.25629432e+02   3   7.48169723e+02   4   9.20400749e+02   5   9.20753329e+02   6   
0.00000000e+00   0   1.41161341e+01   1   5.75711542e+02   2   5.76263010e+02   3   5.89490712e+02   4   7.10557522e+02   5   7.10797718e+02   6   
0.00000000e+00   0   1.15686075e+01   1   4.64097756e+02   2   4.64533665e+02   3   4.73291196e+02   4   5.57978462e+02   5   5.58149850e+02   6   
0.00000000e+00   0   9.23448483e+00   1   3.83301065e+02   2   3.83646047e+02   3   3.89908919e+02   4   4.52828394e+02   5   4.52958337e+02   6   
0.00000000e+00   0   7.85022265e+00   1   3.21484738e+02   2   3.21755457e+02   3   3.26433582e+02   4   3.74593892e+02   5   3.74700577e+02   6   
0.00000000e+00   0   7.30202557e+00   1   2.73828562e+02   2   2.74055433e+02   3   2.77638571e+02   4   3.15420428e+02   5   3.15506975e+02   6   
0.00000000e+00   0   6.33063839e+00   1   2.35021104e+02   2   2.35213675e+02   3   2.38019320e+02   4   2.68976339e+02   5   2.69047632e+02   6   
0.00000000e+00   0   5.18356042e+00   1   2.04408882e+02   2   2.04569614e+02   3   2.06852591e+02   4   2.32316172e+02   5   2.32375681e+02   6   
0.00000000e+00   0   4.88271221e+00   1   1.79309335e+02   2   1.79448154e+02   3   1.81316300e+02   4   2.02913089e+02   5   2.02965123e+02   6   
0.00000000e+00   0   4.19736036e+00   1   1.58731518e+02   2   1.58854632e+02   3   1.60416705e+02   4   1.78856413e+02   5   1.78903166e+02   6   
0.00000000e+00   0   3.78212476e+00   1   1.41440598e+02   2   1.41549449e+02   3   1.42855173e+02   4   1.58906739e+02   5   1.58947990e+02   6   
0.00000000e+00   0   3.17324696e+00   1   1.14573488e+02   2   1.14662646e+02   3   1.15787661e+02   4   1.29055715e+02   5   1.29092288e+02   6   
0.00000000e+00   0   2.89864571e+00   1   1.03647953e+02   2   1.03728745e+02   3   1.04684526e+02   4   1.16367263e+02   5   1.16399939e+02   6   
0.00000000e+00   0   3.02473058e+00   1   1.09309945e+02   2   1.09389926e+02   3   1.10278148e+02   4   1.21874165e+02   5   1.21907267e+02   6   
0.00000000e+00   0   2.57091248e+00   1   9.44349612e+01   2   9.45075457e+01   3   9.53380161e+01   4   1.05626800e+02   5   1.05656418e+02   6   
0.00000000e+00   0   2.34575367e+00   1   8.63172320e+01   2   8.63846078e+01   3   8.70939507e+01   4   9.61977201e+01   5   9.62254040e+01   6   
0.00000000e+00   0   2.37773780e+00   1   8.74488184e+01   2   8.75115148e+01   3   8.81387778e+01   4   9.68763917e+01   5   9.69036122e+01   6   
0.00000000e+00   0   1.90274956e+00   1   7.27250646e+01   2   7.27793040e+01   3   7.33371081e+01   4   8.08029950e+01   5   8.08264149e+01   6   
0.00000000e+00   0   1.86487611e+00   1   6.72623879e+01   2   6.73126150e+01   3   6.78022659e+01   4   7.45274055e+01   5   7.45500926e+01   6   
